"id","t1","tn","diff_t","y1","yn","diff_y","pente_e","pente_mean","pente_sd","pente_max","pente_min","aire_2mean","aire_2min","cat","phase_nb"
7,3.73333333333333,5.25,1.51666666666667,6,1,-5,-3.29670329670329,-3.29670329670329,NA,-3.29670329670329,-3.29670329670329,1.45166666666667,3.79166666666667,-1,2
7,5.25,11.8166666666667,6.5666666666667,1,4,3,0.45685279187817,0.471179763632593,0.266099690618618,0.65934065934066,0.283018867924525,1.73523809523814,11.8666666666668,1,3
7,11.8166666666667,24.1166666666667,12.3,4,1,-3,-0.24390243902439,-0.24390243902439,NA,-0.24390243902439,-0.24390243902439,-0.527142857142856,18.45,-1,4
7,24.1166666666667,32.3,8.1833333333333,1,1,0,0,0,0,0,0,-12.6257142857142,0,0,5
7,32.3,35.8166666666667,3.5166666666667,1,5,4,1.13744075829383,1.13744075829383,NA,1.13744075829383,1.13744075829383,1.60761904761906,7.0333333333334,1,6
7,35.8166666666667,51.7166666666667,15.9,5,1,-4,-0.251572327044025,-0.362661800764099,0.283858797944534,-0.161943319838057,-0.563380281690141,16.0685714285714,40.6,-1,7
7,51.7166666666667,59.7833333333333,8.06666666666661,1,1,0,0,0,0,0,0,-12.4457142857142,0,0,8
7,59.7833333333333,77.3333333333333,17.55,1,6,5,0.284900284900285,0.203825447768922,0.177361472487957,0.32301480484522,0,21.7895238095236,48.8666666666665,1,9
7,77.3333333333333,101.266666666667,23.9333333333337,6,1,-5,-0.208913649025066,-0.333578582601505,0.30887672521651,0,-0.689655172413792,22.2909523809521,59.2166666666669,-1,10
7,101.266666666667,123.716666666667,22.45,1,1,0,0,0,0,0,0,-34.6371428571428,0,0,11
7,123.716666666667,131.816666666667,8.10000000000001,1,5,4,0.493827160493827,0.489795918367389,0.441496074546628,0.857142857142857,0,0.0361904761906686,12.5333333333335,1,12
7,131.816666666667,144.15,12.333333333333,5,1,-4,-0.324324324324333,-0.324324324324333,NA,-0.324324324324333,-0.324324324324333,5.63809523809509,24.666666666666,-1,13
7,144.15,147.666666666667,3.51666666666699,1,1,0,0,0,NA,0,0,-5.42571428571478,0,0,14
7,147.666666666667,149.3,1.63333333333301,1,5,4,2.44897959183721,2.44897959183721,NA,2.44897959183721,2.44897959183721,0.746666666666528,3.26666666666603,1,15
7,149.3,155.783333333333,6.48333333333298,5,1,-4,-0.616966580976897,-0.645650438946588,0.509026589489523,-0.285714285714286,-1.00558659217889,-0.794523809524179,9.20833333333246,-1,16
