"","id","t_debut","t_fin","duree","y_min","y_max","amplitude","pente_debut","pente_debutM","pente_fin","pente_finM","aire_2mean","aire_2min","cycle_nb"
"1",1,4.48809523809524,7.80952380952381,3.32142857142857,2.14285714285714,3,0.857142857142857,1.26315789473684,1.26315789473684,-0.324324324324325,-0.324324324324325,1.4234693877551,3.32142857142857,1
"2",1,24.8333333333333,33.7571428571429,8.92380952380957,2.14285714285714,6,3.85714285714286,1.42857142857143,1.42857142857143,-0.568720379146914,-0.619739862280026,14.8292517006804,22.6238095238097,2
"3",1,51.8571428571428,65.0214285714286,13.1642857142857,2.14285714285714,8,5.85714285714286,0.63829787234041,1.3435281267067,-0.16260162601626,-0.665224445646298,24.8239795918367,36.0892857142857,3
"4",1,102.938095238095,124.971428571429,22.0333333333333,2.14285714285714,6,3.85714285714286,0.670391061452364,0.22562674094708,-0.624999999999997,-0.781099324975837,57.3666666666663,81.0333333333328,4
"5",2,37.6071428571428,99.2047619047619,61.5976190476191,2.14285714285714,8,5.85714285714286,0.0805369127516776,0.153961697333834,-0.279069767441855,-0.248660669160012,104.828741496599,167.389285714286,1
"6",3,0,4.52507936507936,4.52507936507936,2.31428571428571,4,1.68571428571429,0.276497695852534,0.276497695852534,-1.85567010309279,-1.85567010309279,5.05399546485261,10.4042857142857,1
"7",3,12.8739285714286,26.6431428571429,13.7692142857143,2.31428571428571,6,3.68571428571429,0.328317373461013,0.328317373461013,-1.44927536231884,-1.44927536231884,25.3746948979591,34.4230357142856,2
"8",3,28.7547619047619,30.3719047619048,1.61714285714287,2.31428571428571,3,0.685714285714285,1.09090909090911,1.09090909090911,-0.693641618497094,-0.693641618497092,0.554448979591839,1.61714285714287,3
"9",3,49.3276190476191,52.7295238095238,3.40190476190473,2.31428571428571,5,2.68571428571429,1.13207547169812,1.13207547169812,-2.60869565217398,-2.60869565217393,4.56827210884349,6.80380952380946,4
"10",3,76.1019047619047,88.06,11.9580952380953,2.31428571428571,4,1.68571428571429,0.606060606060604,0.403143149982917,-0.164835164835165,-0.216765660400465,9.71896598639459,21.9580952380953,5
"11",3,97.2271428571429,102.316666666667,5.08952380952391,2.31428571428571,5,2.68571428571429,1.10091743119264,1.10091743119264,-0.685714285714445,-1.01347708894876,6.40021768707531,10.8290476190484,6
"12",3,122.450476190476,124.77619047619,2.3257142857145,2.31428571428571,3,0.685714285714285,0.579710144927536,0.579710144927535,-0.599999999999881,-0.59999999999989,0.797387755102115,2.3257142857145,7
"13",3,130.654761904762,136.054761904762,5.39999999999995,2.31428571428571,3,0.685714285714285,0.558139534883773,0.558139534883786,-0.164383561643831,-0.164383561643832,1.85142857142856,5.39999999999995,8
"14",3,149.507619047619,155.733333333333,6.22571428571371,2.31428571428571,6,3.68571428571429,1.30434782608724,1.30434782608723,-0.882352941176469,-0.882352941176469,12.6388163265295,18.9642857142842,9
"15",4,0.902619047619048,4.82714285714286,3.92452380952381,1.97142857142857,5,3.02857142857143,1.0762331838565,1.0762331838565,-2.72727272727274,-2.72727272727274,5.94285034013605,7.84904761904761,1
"16",4,8.27571428571429,21.18,12.9042857142857,1.97142857142857,5,3.02857142857143,0.31413612565445,0.855298547606233,-0.323450134770891,-0.323450134770891,19.4536326530612,27.3971428571428,2
"17",4,25.8428571428571,28.5085714285714,2.66571428571432,1.97142857142857,3,1.02857142857143,0.585365853658531,0.58536585365853,-1.13207547169809,-1.13207547169809,1.37093877551022,2.66571428571432,3
"18",4,30.8238095238096,36.1528571428571,5.32904761904758,1.97142857142857,3,1.02857142857143,0.666666666666666,0.666666666666666,-0.0809716599190283,-0.271663941642564,2.61327210884352,6.86928571428566,4
"19",4,100.458571428571,102.858571428571,2.39999999999975,1.97142857142857,3,1.02857142857143,1.15384615384618,1.15384615384622,-0.681818181818257,-0.681818181818271,1.23428571428559,2.39999999999975,5
"20",4,104.960095238095,117.757523809524,12.7974285714291,1.97142857142857,6,4.02857142857143,1.43540669856432,1.43540669856431,-0.403225806451613,-0.403225806451613,25.7776775510215,31.9935714285728,6
"21",4,121.305396825397,130.711746031746,9.40634920634929,1.97142857142857,4,2.02857142857143,0.853080568720541,0.853080568720541,-0.84112149532703,-0.841121495327038,9.60667800453523,16.4178571428575,7
"22",4,137.840952380953,146.009523809524,8.16857142857128,1.97142857142857,3,1.02857142857143,0.16260162601626,0.16260162601626,-0.558139534883773,-0.558139534883769,4.20097959183666,8.16857142857128,8
"23",4,153.086904761905,155.8,2.71309523809498,1.97142857142857,5,3.02857142857143,1.11627906976755,1.11627906976755,1.11627906976755,NA,4.10840136054384,5.42619047618996,9
"24",5,0,4.60666666666667,4.60666666666667,2.2,4,1.8,0,NA,-1.81818181818182,-1.81818181818182,7.401,12.335,1
"25",5,6.48,11.555,5.07500000000003,2.2,4,1.8,0.98901098901099,0.98901098901099,-0.552995391705064,-0.552995391705064,4.56750000000002,7.61250000000004,2
"26",5,12.5258333333334,26.7726666666667,14.2468333333333,2.2,6,3.8,0.328317373461013,0.328317373461013,-1.42180094786729,-1.42180094786729,27.0689833333333,35.6170833333333,3
"27",5,75.6833333333334,82.4133333333333,6.72999999999996,2.2,5,2.8,1.71428571428571,1.71428571428572,-0.825688073394481,-0.549378678875085,10.9569999999999,16.7449999999998,4
"28",5,87.5516666666667,99.4477777777777,11.896111111111,2.2,5,2.8,0.325644504748983,0.325644504748983,-0.849056603773596,-0.849056603773598,16.6545555555555,23.7922222222221,5
